Name,Hours_Studied,Attendance,Previous_Score,Final_Score
Anushka,2,80,65,68
Rahul,5,92,78,84
Snehal,4,88,75,80
Arjun,6,95,82,90
Meeral,3,,70,74
Akhilesh,7,90,88,94
Diya,5,	85,	,82
Rohan,8,98,91,96
Aisha,2,76,60,65
Vivekanand,4,89,77,81
Minakshi,5,88,76,85
Damini,2,70,75,74
Anushka,2,80,65,68
Rahul,5,92,78,84
Snehal,4,88,75,80
Aarav,6,95,88,91
Priya,3,85,70,74
Rohan,7,97,90,95
Neha,2,76,60,64
Karan,5,90,82,86
Meera,4,87,76,81
Aditya,8,98,94,97
Pooja,3,82,68,72
Vivek,6,94,87,90
Nisha,5,91,80,85
Yash,2,75,58,61
Simran,7,96,91,94
Harsh,4,86,74,79
Isha,3,81,69,73
Aryan,8,99,95,98
Kavya,6,93,86,89
Manav,5,89,79,83
Tanvi,4,84,72,77
Sahil,7,95,89,93
Riya,2,78,62,66
Dev,6,92,84,88
Muskan,3,83,71,75
Aman,5,90,81,85
Khushi,4,87,76,80
Parth,8,98,93,97
Diya,6,94,88,91
Shivam,3,80,67,71
Aditi,5,91,83,87
Om,7,96,90,94
Nandini,2,77,61,65
Krishna,6,93,86,90
Sakshi,4,85,73,78
Jay,5,89,80,84
Palak,3,82,69,73
Rudra,8,99,96,99
Mansi,6,95,89,92
Arjun,7,97,91,95
Aarav Sharma,4.5,92,81,78,82
Priya Patel,6.0,97,90,88,91
Rahul Verma,2.5,76,61,58,63
Ananya Singh,7.0,98,94,91,95
Aditya Kumar,5.0,89,79,76,81
